discipline,ITEM_Sub_System,SD_Subsystem_Name,PL_Discipline,Category,Total_Issued,Total_Released,Remaining,Issued_Yesterday,Issued_Last_7_Days,Issued_Last_30_Days,Released_Yesterday,Released_Last_7_Days,Released_Last_30_Days,SD_Priority_Code
PIPING,1000-02,Fuel Gas & Distribution,PI,B,15,14,1,0,0,0,0,0,0,A-1
PIPING,2000-06,Nitrogen Circuit,PI,B,3,3,0,0,0,0,0,0,0,A-1
PIPING,4000-02,HHP & HP & LP Steam,PI,B,32,30,2,0,0,0,0,0,1,A-1
PIPING,4000-03,MP Steam,PI,B,6,6,0,0,0,0,0,0,0,A-1
PIPING,4000-08,Cooling Water,PI,B,171,168,3,0,0,0,0,0,1,A-1
PIPING,4000-09,Oily Water Treatment,PI,B,11,11,0,0,0,0,0,0,0,A-1
PIPING,4000-12,COC Water and Lab Chemical Sump,PI,B,3,3,0,0,0,0,0,0,0,A-1
PIPING,4000-14,Fire Water,PI,B,42,35,7,0,0,0,0,0,0,A-1
PIPING,4000-15,Potable & Service Water,PI,B,11,11,0,0,0,0,0,0,0,A-1
PIPING,5000-04,Methanol Product,PI,B,30,28,2,0,0,0,0,0,0,A-1
PIPING,5000-05,Liquid Off Stream,PI,B,7,7,0,0,0,0,0,0,0,A-1
PIPING,7000-01,Flare System (In Site),PI,B,18,16,2,0,0,0,0,0,0,A-1
PIPING,4000-01,Nitrogen,PI,C,22,6,16,0,0,2,0,2,6,A-0
PIPING,4000-07,Plant Air,PI,C,13,2,11,0,0,2,0,0,2,A-0
PIPING,4000-11,Instrument Air,PI,C,9,4,5,0,0,2,0,0,4,A-0
PIPING,5000-01,Crude Methanol and Stabilizer & Slope Methanol,PI,C,151,16,135,0,0,0,0,0,2,A-0
PIPING,5000-02,Low Pressure (LP) Methanol,PI,C,95,6,89,0,0,0,0,0,5,A-0
PIPING,5000-03,Medium Pressure (MP) Methanol,PI,C,80,0,80,0,0,2,0,0,0,A-0
PIPING,1000-02,Fuel Gas & Distribution,PI,C,9,3,6,0,0,0,1,2,2,A-1
PIPING,2000-06,Nitrogen Circuit,PI,C,16,4,12,0,0,0,1,3,4,A-1
PIPING,4000-02,HHP & HP & LP Steam,PI,C,138,4,134,0,0,17,2,2,4,A-1
PIPING,4000-03,MP Steam,PI,C,31,2,29,0,0,0,0,0,2,A-1
PIPING,4000-08,Cooling Water,PI,C,329,6,323,0,0,1,0,0,2,A-1
PIPING,4000-09,Oily Water Treatment,PI,C,11,0,11,0,0,2,0,0,0,A-1
PIPING,4000-13,Slope Close Drain,PI,C,13,1,12,0,0,3,0,0,1,A-1
PIPING,4000-14,Fire Water,PI,C,100,0,100,0,1,5,0,0,0,A-1
PIPING,4000-15,Potable & Service Water,PI,C,62,0,62,0,0,0,0,0,0,A-1
PIPING,5000-04,Methanol Product,PI,C,91,4,87,0,0,0,0,3,4,A-1
PIPING,5000-05,Liquid Off Stream,PI,C,22,0,22,0,0,0,0,0,0,A-1
PIPING,7000-01,Flare System (In Site),PI,C,59,1,58,0,0,0,0,0,0,A-1
PIPING,BLD-01,Substation,PI,C,2,0,2,0,0,0,0,0,0,A-1
PIPING,BLD-02,Control Building,PI,C,6,5,1,0,0,1,0,0,5,A-1
