SD_Sub_System,Discipline_Name,ITEM_Tag_NO,ITEM_Type_Code,PL_Punch_Category,PL_Punch_Description,PL_No
5000-01,PI,5000-01-PMC-07-150,PI_TP,C,J:1 FLANGE SHALL BE DONE PARRALLEL WITH FLANGE OF PUMP,PL-00179
5000-01,PI,5000-01-PMC-07-150,PI_TP,C,(PG-5014) SHOULD BE INSTALLED BEFORE PRECOM,PL-00180
5000-01,PI,5000-01-PMC-07-150,PI_TP,C,ITEM 8 (ORIFICE PLATE)  SHOULD BE INSTALLED BEFORE PRECOM,PL-00182
5000-01,PI,5000-01-PMC-07-150,PI_TP,C,TAPPING OF THE ORIFICE PLATE SHALL BE SEAL-WELDED,PL-14136
5000-01,PI,5000-01-PMC-08-151,PI_TP,C,TG and PG SHALL BE INSTALLED AFTER TEST,PL-00123
5000-01,PI,5000-01-PMC-09-167,PI_TP,C,"INSULATION KIT 4""-CL-150# SHOULD BE INSTALED BEFORE PRECOMM AND ORIGINAL GASKET INSTALL",PL-01727
5000-01,PI,5000-01-PMC-10-168,PI_TP,C,THE OPRIGINAL GASKET SHALL BE INSTALL FOR TANK,PL-02251
5000-01,PI,5000-01-PMC-10-168,PI_TP,C,ALL VALVES SHALL BE LUBRICATE,PL-02252
5000-01,PI,5000-01-PMC-11-169,PI_TP,C,THE GROUTING OF SUPPORT S1 SHALL BE DONE BEFORE PRECOMM,PL-01318
5000-01,PI,5000-01-PMC-11-169,PI_TP,C,"ITEM 6 (FLANGE SPECTACLE 3/4"" 150#) SHALL BE INSTALLED AFTER AND G11",PL-01319
5000-01,PI,5000-01-PMC-11-169,PI_TP,C,STUD BOLT (B8) IS NIS . IT SHALL BE INSTALLED AFTER,PL-01320
5000-01,PI,5000-01-PMC-11-169,PI_TP,C,DIRECTION OF VALVE (ITEM 12) SHALL BE CHANGED ACCORDING TO ISO BEFORE PRECOMM,PL-01321
5000-01,PI,5000-01-PMC-12-221,PI_TP,C,INSRUMENTATION DEVICE (TG-5098) MUST BE INSTALLED BEFORE PRECOM,PL-01311
5000-01,PI,5000-01-PMC-13-690,PI_TP,C,INSTRUMENT DEVICE CTRL 5041 SHALL BE INSTALL,PL-02169
5000-01,PI,5000-01-PMC-13-690,PI_TP,C,ORIFICE PLATE SHALL BE INSTALL,PL-02170
5000-01,PI,5000-01-PMC-14-434,PI_TP,C,(PG-5131) SHOULD BE INSTALLED BEFORE PRECOM,PL-00574
5000-01,PI,5000-01-PMC-14-434,PI_TP,C,(PG-5135) SHOULD BE INSTALLED BEFORE PRECOM,PL-00575
5000-01,PI,5000-01-PMC-14-434,PI_TP,C,ITEM INSULATION KIT MUST BE INSTALLED BEFORE PRECOM,PL-00576
5000-01,PI,5000-01-PMC-14-434,PI_TP,C,THE BRANCH CONNECTION FROM THE STRAINER TO THE CLOSED DRAIN SHALL BE SEAL-WELDED,PL-14126
5000-01,PI,5000-01-PMC-15-480,PI_TP,C,(AP-5056) SHOULD BE INSTALLED BEFORE PRECOM,PL-00939
